Category,Review
chinese,Classy and affordable - Buddakan is the perfect choice for a date night or just a casual dinner. Since we aren't dining out and are doing take out we...
chinese,"Buddakan was a great experience amid Covid-19. I look forward to returning when indoor dining is available, as the interiors of this restaurant are fabulous..."
chinese,"By far one of my favorite restaurants in NYC. Located in the elegant Meatpacking District, this restaurant compliments the neighborhood with its intricate..."
chinese,"Oh how I missed you New York Chinatown Chinese! Okay, I do not really remember eating any Chinese food in New York, I honestly do not know why I just wrote..."
chinese,"A solid four. I came solely for the xiao long bao (soup dumplings) and they didn't disappoint.

I ordered the dumplings to go (1 order of 8 pork soup..."
chinese,"When you're staying next to a restaurant with almost 7000 reviews, you know it must be special. Truly... that's maybe the most reviews I've EVER seen for a..."
chinese,"*covid-19 experience*

There is always a line at this place. The store is very small and they only allow two customers inside at a time. Take out only +cash..."
chinese,"the Three Treasures Rice (三寶飯) from Wah Fung in New York. Big portions for a great price, very juicy thick cuts of meat. These guys don't skimp on the..."
chinese,"Yelping be in New York City can be a game of disappointment, especially during Covid. The race to the top sometimes mean that the restaurant with five stars..."
chinese,Had to stop by and try these famous dumplings. It was super crowded but the line moved fast and somehow we found a spot to eat (pre-covid time). We got the...
chinese,"One of the rare Chinatown places that aren't just hype and/or americanized. Def affordable, and delicious as well. Can't really go wrong with a meal that..."
chinese,"Everytime I come to NYC and I crave dumplings..... Vanessa's dumplings hits the spot. If you can tolerate spice, the wonton in chili oil is a must! Went..."
chinese,"This place is my go-to for soup dumplings! 

On my Fiancès and I's recent visit, we actually just got engaged, but our renovations fell through for a..."
chinese,I was arguing with someone over which NYC restaurant had the best xiaolongbao (soup dumplings)--my vote was for The Bao/Kung Fu Xiao Long Bao (two sister...
chinese,"First time back since they transformed Mott Street with outdoor dining space (through a city initiative called DineOut NYC). 

Same delicious food with all..."
chinese,"Great frozen dumplings! 

Only had the chance to eat here a few times pre-COVID but 88 Lan Zhou has been my go to place for frozen dumplings for awhile...."
chinese,"Amazing dumplings at a very affordable price, too bad a small family own place like this have to close down permanently because of COVID. The last day is..."
chinese,"I am so sad that this is place is closing, but fear not you are still able to pick up frozen dumplings. It's $16 for 50 of the best dumplings you'll ever..."
chinese,Love this place!! I called ahead to make sure they had indoor seating which they did (since it's getting chilly out.) The workers were really nice and they...
chinese,"So I don't eat pork, and if you don't either (or are vegan/vegetarian), then this place is not for you. All their broths are made with pork. Their solution..."
chinese,Went here last weekend. LOVE THIS PLACE AND LOVE THE PRICE. Typically my go to for hot pot. It's a pretty good deal. What I don't love is the sauce area....
chinese,"This review is for early 2020 (possibly Jan/ feb)

10 piece dumplings for $3.50, peanut butter noodles for cheap and the portion is big enough for a ride..."
chinese,Fast cheap good. Perhaps the most flavorful boiled dumplings you can find in china town. The peanut wheat noodles are a must. Take home dumplings for $.18...
chinese,"I'm glad they do good business wise, but it used to be annoying how many Becky's, Chad's and Stu's would be in here, after going here for over 10 years...."
chinese,"After several months of playing it safe, we get to stop by at one of my favorite comfort food restaurants-- 

From a dozen cooks and a bevy of servers, the..."
chinese,"I did a pandemic pickup last night, I know Nyonya has been around for a long time but last night was the first time I tried their food and I have to say, I..."
chinese,The food here is absolutely delicious and deserves 5/5 but the service is a little slow and inattentive. Regardless of that I would still return and...
chinese,"See, I'm not even remotely cool because it took me THIS long to try Very Fresh Noodles. I have about a dozen Yelp friends who don't even live in New York..."
chinese,"Could not stay away during quarantine and was so happy when they re-opened in June. 

They have updated hours of operations (closed Mon + Tues) and have..."
chinese,Tingly Asian noodles was the ONE thing I craved the most during the pandemic. So happy to see Very Fresh Noodles reopened. I got the tingly beef dry option...
chinese,"5 stars to the restaurant for their customer service! I live outside their delivery range, but they were willing to still deliver my order last night for a..."
chinese,"We stayed in Chinatown during our trip to NYC. While walking around on the first night, we stumbled across Tasty Hand-Pulled Noodles, and I'm so glad we..."
chinese,Maybe the best stir fried noodles I have had. I loved it. Flavorful and the sauce was delicious. The dumplings were so good too! They serve everything in...
